Número da Req, Matrícula, Nome, Aprovado, Notas
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
1, 1111009302, Felipe Rosa, true, { 7 8 9 9  }
